"id";"container_id";"pick_minfilllevel";"decrease";"code";"pick_at_utc";"percent_before";"percent_now";"event_driven"
"10121621";"29904";"30";"20";"0006/ 016C00211";"2018-12-18T09:11:10.000Z";"72";"14";"false"
"10121636";"29946";"30";"20";"0005/ 218C00144";"2018-12-18T09:12:23.000Z";"100";"3";"false"
"10121644";"30040";"30";"20";"0003/ 013C00502";"2018-12-18T09:12:25.000Z";"100";"24";"false"
"10121655";"30064";"30";"20";"0003/ 035C00551";"2018-12-18T09:12:27.000Z";"45";"18";"false"
"10121858";"29903";"30";"20";"0005/ 003C00134";"2018-12-18T09:38:44.000Z";"100";"7";"false"
"10128140";"30059";"30";"20";"0003/ 030C00541";"2018-12-18T17:38:10.000Z";"100";"23";"false"
"10132905";"29806";"30";"20";"0018/ 050C00471";"2018-12-19T05:06:22.000Z";"99";"0";"false"
"10133162";"30039";"30";"20";"0003/ 013C00501";"2018-12-19T05:15:30.000Z";"60";"0";"false"
"10135289";"29878";"30";"20";"0006/ 001C00181";"2018-12-19T09:14:54.000Z";"80";"19";"false"
"10135299";"29937";"30";"20";"0007/ 022C00414";"2018-12-19T09:16:06.000Z";"100";"20";"false"
"10135306";"29823";"30";"20";"0006/ 263C00231";"2018-12-19T09:16:08.000Z";"53";"17";"false"
"10135307";"29949";"30";"20";"0005/ 025C00153";"2018-12-19T09:16:09.000Z";"100";"4";"false"
"10135324";"29835";"30";"20";"0010/ 265C00456";"2018-12-19T09:16:12.000Z";"100";"24";"false"
"10135327";"30103";"30";"20";"0003/ 052C00622";"2018-12-19T09:16:13.000Z";"90";"24";"false"
"10135329";"29936";"30";"20";"0007/ 022C00413";"2018-12-19T09:16:13.000Z";"100";"17";"false"
"10135330";"29875";"30";"20";"0006/ 012C00172";"2018-12-19T09:16:13.000Z";"100";"28";"false"
"10135337";"29914";"30";"20";"0001/ 013C00061";"2018-12-19T09:16:15.000Z";"100";"5";"false"
"10135340";"29916";"30";"20";"0001/ 013C00063";"2018-12-19T09:16:15.000Z";"99";"7";"false"
"10135346";"29915";"30";"20";"0001/ 013C00062";"2018-12-19T09:16:18.000Z";"100";"16";"false"
"10135503";"30027";"30";"20";"0003/ 010C00481";"2018-12-19T09:40:27.000Z";"43";"12";"false"
"10135513";"29822";"30";"20";"0006/ 263C00232";"2018-12-19T09:40:33.000Z";"65";"20";"false"
"10135519";"29879";"30";"20";"0006/ 001C00182";"2018-12-19T09:40:35.000Z";"100";"0";"false"
"10135527";"30028";"30";"20";"0003/ 010C00482";"2018-12-19T09:40:40.000Z";"90";"11";"false"
"10135533";"29943";"30";"20";"0005/ 218C00141";"2018-12-19T09:41:17.000Z";"100";"0";"false"
"10135557";"29903";"30";"20";"0005/ 003C00134";"2018-12-19T09:42:33.000Z";"98";"5";"false"
"10137154";"29792";"30";"20";"0010/ 263C00433";"2018-12-19T11:10:18.000Z";"99";"3";"false"
"10138223";"29805";"30";"20";"0010/ 268C00464";"2018-12-19T13:16:50.000Z";"99";"6";"false"
"10138227";"30099";"30";"20";"0003/ 043C00613";"2018-12-19T13:16:50.000Z";"100";"0";"false"
"10138239";"29804";"30";"20";"0010/ 268C00463";"2018-12-19T13:16:52.000Z";"100";"16";"false"
"10138325";"29876";"30";"20";"0006/ 012C00173";"2018-12-19T13:41:06.000Z";"63";"27";"false"
"10138332";"29789";"30";"20";"0006/ 264C00204";"2018-12-19T13:41:12.000Z";"64";"8";"false"
"10140648";"29796";"30";"20";"0010/ 252C00421";"2018-12-19T17:00:34.000Z";"21";"0";"false"
"10146130";"30100";"30";"20";"0003/ 043C00614";"2018-12-20T05:19:23.000Z";"41";"0";"false"
"10148194";"29907";"30";"20";"0006/ 016C00214";"2018-12-20T09:19:20.000Z";"83";"4";"false"
"10148195";"29880";"30";"20";"0006/ 001C00183";"2018-12-20T09:19:20.000Z";"97";"6";"false"
"10148249";"29828";"30";"20";"0009/ 003C00266";"2018-12-20T09:20:06.000Z";"59";"13";"false"
"10148437";"29786";"30";"20";"0006/ 264C00201";"2018-12-20T09:44:19.000Z";"57";"15";"false"
"10151176";"29906";"30";"20";"0006/ 016C00213";"2018-12-20T13:20:31.000Z";"100";"1";"false"
"10151182";"30052";"30";"20";"0003/ 022C00522";"2018-12-20T13:20:32.000Z";"98";"15";"false"
"10151190";"29877";"30";"20";"0006/ 012C00174";"2018-12-20T13:20:34.000Z";"50";"0";"false"
"10151218";"30068";"30";"20";"0003/ 035C00555";"2018-12-20T13:20:39.000Z";"58";"0";"false"
"10151334";"30077";"30";"20";"0003/ 037C00572";"2018-12-20T13:45:02.000Z";"100";"12";"false"
"10159321";"29937";"30";"20";"0007/ 022C00414";"2018-12-21T05:22:59.000Z";"98";"11";"false"
"10159343";"29936";"30";"20";"0007/ 022C00413";"2018-12-21T05:23:04.000Z";"95";"17";"false"
"10159354";"29914";"30";"20";"0001/ 013C00061";"2018-12-21T05:23:06.000Z";"97";"7";"false"
"10159358";"29916";"30";"20";"0001/ 013C00063";"2018-12-21T05:23:07.000Z";"73";"3";"false"
"10159369";"29915";"30";"20";"0001/ 013C00062";"2018-12-21T05:23:11.000Z";"78";"7";"false"
"10159524";"29826";"30";"20";"0009/ 003C00263";"2018-12-21T05:47:39.000Z";"100";"26";"false"
"10161556";"29949";"30";"20";"0005/ 025C00153";"2018-12-21T09:23:38.000Z";"84";"5";"false"
"10161558";"29832";"30";"20";"0010/ 265C00453";"2018-12-21T09:23:38.000Z";"100";"26";"false"
"10161560";"29946";"30";"20";"0005/ 218C00144";"2018-12-21T09:23:39.000Z";"100";"7";"false"
"10161565";"29791";"30";"20";"0010/ 263C00432";"2018-12-21T09:23:40.000Z";"100";"10";"false"
"10161578";"30080";"30";"20";"0003/ 039C00581";"2018-12-21T09:23:43.000Z";"97";"29";"false"
"10161583";"29900";"30";"20";"0005/ 003C00131";"2018-12-21T09:23:44.000Z";"93";"26";"false"
"10161584";"29875";"30";"20";"0006/ 012C00172";"2018-12-21T09:23:44.000Z";"100";"18";"false"
"10161589";"29947";"30";"20";"0005/ 025C00151";"2018-12-21T09:23:45.000Z";"85";"2";"false"
"10161594";"29809";"30";"20";"0018/ 050C00474";"2018-12-21T09:23:47.000Z";"100";"0";"false"
"10161798";"29876";"30";"20";"0006/ 012C00173";"2018-12-21T09:48:00.000Z";"92";"20";"false"
"10161805";"29789";"30";"20";"0006/ 264C00204";"2018-12-21T09:48:05.000Z";"58";"26";"false"
"10161849";"30055";"30";"20";"0003/ 024C00531";"2018-12-21T09:50:05.000Z";"100";"24";"false"
"10164756";"30051";"30";"20";"0003/ 022C00521";"2018-12-21T13:50:38.000Z";"100";"20";"false"
"10165094";"30081";"30";"20";"0003/ 039C00582";"2018-12-21T14:07:17.000Z";"100";"18";"false"
"10167577";"30056";"30";"20";"0003/ 024C00532";"2018-12-21T17:23:05.000Z";"55";"10";"false"
"10174629";"30064";"30";"20";"0003/ 035C00551";"2018-12-22T09:01:02.000Z";"52";"1";"false"
"10174652";"30040";"30";"20";"0003/ 013C00502";"2018-12-22T09:01:06.000Z";"100";"27";"false"
"10174677";"29914";"30";"20";"0001/ 013C00061";"2018-12-22T09:01:10.000Z";"99";"4";"false"
"10177488";"30077";"30";"20";"0003/ 037C00572";"2018-12-22T13:01:49.000Z";"76";"14";"false"
"10187593";"30028";"30";"20";"0003/ 010C00482";"2018-12-23T09:04:55.000Z";"92";"17";"false"
"10187612";"30076";"30";"20";"0003/ 037C00571";"2018-12-23T09:04:58.000Z";"99";"22";"false"
"10187895";"29798";"30";"20";"0010/ 252C00423";"2018-12-23T09:55:36.000Z";"90";"8";"false"
"10187926";"30055";"30";"20";"0003/ 024C00531";"2018-12-23T09:57:34.000Z";"100";"16";"false"
"10190384";"30065";"30";"20";"0003/ 035C00552";"2018-12-23T13:05:34.000Z";"100";"10";"false"
"10193261";"29799";"30";"20";"0010/ 252C00424";"2018-12-23T17:06:35.000Z";"100";"27";"false"
"10200421";"29900";"30";"20";"0005/ 003C00131";"2018-12-24T09:08:03.000Z";"100";"6";"false"
"10200422";"29879";"30";"20";"0006/ 001C00182";"2018-12-24T09:08:22.000Z";"100";"24";"false"
"10200461";"29916";"30";"20";"0001/ 013C00063";"2018-12-24T09:08:38.000Z";"100";"16";"false"
"10200468";"29914";"30";"20";"0001/ 013C00061";"2018-12-24T09:08:39.000Z";"93";"0";"false"
"10200481";"29949";"30";"20";"0005/ 025C00153";"2018-12-24T09:08:40.000Z";"100";"13";"false"
"10200486";"30056";"30";"20";"0003/ 024C00532";"2018-12-24T09:08:41.000Z";"100";"19";"false"
"10200493";"29790";"30";"20";"0010/ 263C00431";"2018-12-24T09:08:41.000Z";"65";"6";"false"
"10200505";"29808";"30";"20";"0018/ 050C00473";"2018-12-24T09:08:44.000Z";"92";"3";"false"
"10200630";"29948";"30";"20";"0005/ 025C00152";"2018-12-24T09:34:53.000Z";"100";"28";"false"
"10200631";"29801";"30";"20";"0010/ 252C00426";"2018-12-24T09:34:57.000Z";"81";"18";"false"
"10200828";"29826";"30";"20";"0009/ 003C00263";"2018-12-24T09:59:33.000Z";"100";"18";"false"
"10203304";"30097";"30";"20";"0003/ 043C00611";"2018-12-24T13:09:08.000Z";"100";"10";"false"
"10203310";"29789";"30";"20";"0006/ 264C00204";"2018-12-24T13:09:10.000Z";"100";"17";"false"
"10203328";"30080";"30";"20";"0003/ 039C00581";"2018-12-24T13:09:14.000Z";"93";"8";"false"
"10203329";"30051";"30";"20";"0003/ 022C00521";"2018-12-24T13:09:14.000Z";"42";"0";"false"
"10203358";"30028";"30";"20";"0003/ 010C00482";"2018-12-24T13:09:18.000Z";"90";"14";"false"
"10203371";"30077";"30";"20";"0003/ 037C00572";"2018-12-24T13:09:20.000Z";"78";"0";"false"
"10203826";"30055";"30";"20";"0003/ 024C00531";"2018-12-24T14:01:58.000Z";"90";"14";"false"
"10206207";"30068";"30";"20";"0003/ 035C00555";"2018-12-24T17:09:48.000Z";"56";"4";"false"
"10213122";"29936";"30";"20";"0007/ 022C00413";"2018-12-25T09:11:09.000Z";"100";"6";"false"
"10213176";"29914";"30";"20";"0001/ 013C00061";"2018-12-25T09:12:23.000Z";"76";"7";"false"
"10213189";"29946";"30";"20";"0005/ 218C00144";"2018-12-25T09:12:25.000Z";"100";"8";"false"
"10216012";"30064";"30";"20";"0003/ 035C00551";"2018-12-25T13:12:58.000Z";"58";"5";"false"
"10216054";"30040";"30";"20";"0003/ 013C00502";"2018-12-25T13:13:02.000Z";"100";"15";"false"
"10216060";"30066";"30";"20";"0003/ 035C00553";"2018-12-25T13:13:03.000Z";"100";"5";"false"
"10223807";"29943";"30";"20";"0005/ 218C00141";"2018-12-26T05:15:29.000Z";"100";"4";"false"
